arm	config	n_workers	run	pytest_s	wall_s	passed	failed	result
vm16-pgdef	serial	0	1	87.55	92	3477	0	PASS
vm16-pgdef	serial	0	2	88.25	92	3477	0	PASS
vm16-pgdef	serial	0	3	88.13	93	3477	0	PASS
vm16-pgdef	n1	1	1	93.78	97	3477	0	PASS
vm16-pgdef	n1	1	2	94.81	98	3477	0	PASS
vm16-pgdef	n1	1	3	94.60	98	3477	0	PASS
vm16-pgdef	n2	2	1	53.29	56	3477	0	PASS
vm16-pgdef	n2	2	2	53.31	56	3477	0	PASS
vm16-pgdef	n2	2	3	53.64	57	3477	0	PASS
vm16-pgdef	n4	4	1	34.86	38	3477	0	PASS
vm16-pgdef	n4	4	2	35.02	38	3477	0	PASS
vm16-pgdef	n4	4	3	35.07	38	3477	0	PASS
vm16-pgdef	n6	6	1	28.99	33	3477	0	PASS
vm16-pgdef	n6	6	2	29.03	32	3477	0	PASS
vm16-pgdef	n6	6	3	28.90	32	3477	0	PASS
vm16-pgdef	n8	8	1	26.00	29	3477	0	PASS
vm16-pgdef	n8	8	2	25.75	29	3477	0	PASS
vm16-pgdef	n8	8	3	28.00	31	3477	0	PASS
vm16-pgdef	n10	10	1	25.19	28	3477	0	PASS
vm16-pgdef	n10	10	2	25.54	29	3477	0	PASS
vm16-pgdef	n10	10	3	25.63	29	3477	0	PASS
vm16-pgdef	n12	12	1	26.39	29	3477	0	PASS
vm16-pgdef	n12	12	2	26.09	29	3477	0	PASS
vm16-pgdef	n12	12	3	25.82	28	3477	0	PASS
vm16-pgdef	n14	14	1	25.43	28	3477	0	PASS
vm16-pgdef	n14	14	2	27.41	31	3477	0	PASS
vm16-pgdef	n14	14	3	27.13	30	3477	0	PASS
vm16-pgdef	n16	16	1	26.66	30	3477	0	PASS
vm16-pgdef	n16	16	2	26.58	30	3477	0	PASS
vm16-pgdef	n16	16	3	26.18	29	3477	0	PASS
vm16-pgdef	n20	20	1	27.83	30	3477	0	PASS
vm16-pgdef	n20	20	2	27.61	30	3477	0	PASS
vm16-pgdef	n20	20	3	27.46	30	3477	0	PASS
